Project,sha,class_,method
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.servlet.TestHostnameFilter,testHostname
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.servlet.TestHostnameFilter,testMissingHostname
oozie,267e2210702691b6162789327fcb0f8fb0cf4182,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testEvictionOnTimeToLive
oozie,28da0f9d860384ea226c71d0ce0a3e01b0737816,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testCoordActionInputCheckXCommandUniqueness
oozie,2c0e5f4beae4ce29764bcb2aa1833771ef220890,org.apache.oozie.action.TestActionFailover,testFsFailover
oozie,3a45eec53573282e6f17da8ae429f3b835915af8,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testMaxElementsInMemory
oozie,4193bc86126b3df66cd8bbde780ede4efdd64924,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testEvictionOnTimeToIdle
oozie,4249aaeea2dde6a925c239d11b846804f6fc546c,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testEvictionOnTimeToIdle
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testActionInputCheck
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testActionInputCheckFuture
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testActionInputCheckLatestActionCreationTime
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testActionInputCheckLatestActionCreationTimeWithPushDependency
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testActionInputCheckLatestCurrentTime
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testActionInputCheckLatestCurrentTimeWithPushDependency
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testActionInputMissingDependencies
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testCoordActionInputCheckXCommandUniqueness
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testNoDatasetDependency
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testNonExistingNameNode
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testRequeueInterval
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testResolveCoordConfiguration
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testTimeout
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testTimeoutWithException
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testActionInputCheck
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testActionInputCheckFuture
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testActionInputCheckLatestActionCreationTime
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testActionInputCheckLatestActionCreationTimeWithPushDependency
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testActionInputCheckLatestCurrentTime
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testActionInputCheckLatestCurrentTimeWithPushDependency
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testActionInputMissingDependencies
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testCoordActionInputCheckXCommandUniqueness
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testNoDatasetDependency
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testNonExistingNameNode
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testRequeueInterval
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testResolveCoordConfiguration
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testTimeout
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommandNonUTC,testTimeoutWithException
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionMaterializeCommand,testActionMater
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionMaterializeCommand,testActionMaterWithPauseTime1
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionMaterializeCommand,testActionMaterWithPauseTime2
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionMaterializeCommand,testActionMaterWithPauseTime3
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionNotificationXCommand,testCoordNotificationTimeout
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionStartXCommand,testActionStartCommand
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionStartXCommand,testActionStartWithErrorReported
